Time Bucket (America/New_York),Vue Energy Monitor-Mains_A (kWhs),Vue Energy Monitor-Mains_B (kWhs),Vue Energy Monitor-Mains_C (kWhs),Vue Energy Monitor-Clothes Washer-Washer / Dehumidifier (kWhs),Vue Energy Monitor-Clothes Dryer-Dryer (kWhs),Vue Energy Monitor-Pump-ERV / Condensate Pump (kWhs),Vue Energy Monitor-Water Heater-Hot Water Tank (kWhs),Vue Energy Monitor-Heat Pump-Heat Pump (kWhs),Vue Energy Monitor-Cooktop/Range/Oven/Stove-Oven (kWhs),Vue Energy Monitor-Fridge/Freezer-Fridge (kWhs),Vue Energy Monitor-Dishwasher-Dishwasher  (kWhs),Vue Energy Monitor-Circuit_9 (kWhs),Vue Energy Monitor-Circuit_10 (kWhs),Vue Energy Monitor-Circuit_11 (kWhs),Vue Energy Monitor-Circuit_12 (kWhs),Vue Energy Monitor-Circuit_13 (kWhs),Vue Energy Monitor-Circuit_14 (kWhs),Vue Energy Monitor-Circuit_15 (kWhs),Vue Energy Monitor-Circuit_16 (kWhs)
01/21/2026 00:00:00,4.9587,6.8971,No CT,0.1144,0.0009,0.0281,0.6633,2.1795,1.5988,1.2588,0.6372,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 00:00:00,15.3469,18.4156,No CT,0.7449,0.0000,0.0804,0.7712,10.6603,0.7929,2.6525,0.1185,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 00:00:00,18.2522,20.5484,No CT,0.3326,0.0000,0.0707,0.9091,12.3675,1.8826,2.6100,0.1358,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/24/2026 00:00:00,25.5124,28.8905,No CT,0.7141,2.2693,0.0146,1.9661,16.3417,1.7613,2.9423,0.6856,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/25/2026 00:00:00,23.4594,26.2710,No CT,0.7282,0.0000,0.0757,1.0488,19.1460,0.0962,2.6457,0.6760,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/26/2026 00:00:00,21.8615,25.4443,No CT,0.3404,0.0000,0.0503,0.8263,16.1347,2.4795,3.0256,0.1637,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/27/2026 00:00:00,16.8888,19.9493,No CT,0.3420,0.0000,0.0127,1.0108,12.9523,0.1303,2.9816,0.7967,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/28/2026 00:00:00,20.1417,22.3246,No CT,0.3426,0.0000,0.0512,1.4546,14.5574,0.1764,2.8111,0.6853,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/29/2026 00:00:00,18.9021,22.3810,No CT,0.7331,0.3649,0.0557,0.5968,14.3982,0.9564,2.5722,0.1632,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/30/2026 00:00:00,22.3280,24.9339,No CT,0.3397,0.0000,0.2124,1.3777,18.3618,0.0002,2.3413,0.1069,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/31/2026 00:00:00,20.0818,21.1476,No CT,0.3364,0.0000,0.0616,1.6227,13.4470,0.5553,2.7028,1.2533,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/01/2026 00:00:00,17.5361,20.3444,No CT,0.7248,0.0000,0.0127,0.7777,13.3602,0.0914,2.8797,0.6821,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/02/2026 00:00:00,17.7799,21.4034,No CT,0.7185,0.0000,0.0864,1.3018,12.6486,0.4652,3.5667,0.1829,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/03/2026 00:00:00,16.8263,20.0164,No CT,0.3418,0.1566,0.0221,2.2042,11.5919,0.1396,2.8599,0.7117,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/04/2026 00:00:00,19.0033,22.1118,No CT,0.7387,0.0000,0.0164,1.6686,11.8628,2.0689,2.8963,0.7402,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/05/2026 00:00:00,14.4699,18.1017,No CT,0.3443,0.2974,0.0666,0.4600,11.8401,0.0783,2.5535,0.1153,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/06/2026 00:00:00,15.9987,19.8658,No CT,0.7092,0.5006,0.0127,1.0677,12.6119,0.0002,2.2803,0.1212,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/07/2026 00:00:00,18.9150,21.7015,No CT,0.3437,0.0000,0.0284,0.3882,16.1952,0.0275,2.2919,0.6798,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/08/2026 00:00:00,22.1944,24.7592,No CT,0.3417,0.0000,0.0160,1.0443,18.7985,0.0460,2.2170,0.0956,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/09/2026 00:00:00,21.2656,23.5913,No CT,0.7183,0.0000,0.0561,1.2795,16.1368,0.2656,2.6918,0.6846,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/10/2026 00:00:00,19.0520,21.5883,No CT,0.3433,0.0000,0.0276,1.9214,12.5388,1.3228,2.6090,0.5798,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/11/2026 00:00:00,12.8012,16.1562,No CT,0.3408,0.0000,0.0661,1.4721,8.3877,0.0565,3.1203,0.2223,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/12/2026 00:00:00,16.8255,20.9107,No CT,1.5357,1.8827,0.0415,1.9679,9.9742,0.0328,2.5092,0.6743,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/13/2026 00:00:00,14.4997,17.3016,No CT,0.3430,0.0000,0.0372,0.8103,9.2699,1.7772,2.4242,0.6678,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/14/2026 00:00:00,12.1754,15.2496,No CT,0.3426,0.0000,0.0000,0.5907,9.9908,0.0002,1.9032,0.0762,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/15/2026 00:00:00,11.2769,14.3691,No CT,0.3605,0.0000,0.0000,0.1867,9.4909,0.0002,1.9138,0.1305,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/16/2026 00:00:00,11.1787,14.2972,No CT,0.3523,0.0000,0.0188,1.1399,7.7363,0.0936,2.4084,0.1278,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/17/2026 00:00:00,12.6929,14.9763,No CT,0.7127,0.9793,0.0704,0.9034,6.3300,0.4007,2.8982,0.1765,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/18/2026 00:00:00,12.5623,14.5483,No CT,0.3402,0.0000,0.0457,1.0452,7.6036,0.0758,2.9880,0.6682,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/19/2026 00:00:00,11.9367,13.8438,No CT,0.3467,0.0000,0.0225,0.3912,7.8492,0.0002,2.7516,0.4057,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/20/2026 00:00:00,11.9904,13.6882,No CT,0.3433,0.0000,0.0249,1.1234,6.8027,0.0997,2.6981,0.8582,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/21/2026 00:00:00,15.6670,17.5370,No CT,1.1015,0.0000,0.0304,1.7548,9.5878,0.1556,2.5208,0.8008,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
02/22/2026 00:00:00,7.7599,9.3268,No CT,0.1711,0.0000,0.0012,0.1014,4.5434,2.0535,1.1723,0.1082,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
