Time Bucket (America/New_York),Vue Energy Monitor-Mains_A (kWhs),Vue Energy Monitor-Mains_B (kWhs),Vue Energy Monitor-Mains_C (kWhs),Vue Energy Monitor-Clothes Washer-Washer / Dehumidifier (kWhs),Vue Energy Monitor-Clothes Dryer-Dryer (kWhs),Vue Energy Monitor-Pump-ERV / Condensate Pump (kWhs),Vue Energy Monitor-Water Heater-Hot Water Tank (kWhs),Vue Energy Monitor-Heat Pump-Heat Pump (kWhs),Vue Energy Monitor-Cooktop/Range/Oven/Stove-Oven (kWhs),Vue Energy Monitor-Fridge/Freezer-Fridge (kWhs),Vue Energy Monitor-Dishwasher-Dishwasher  (kWhs),Vue Energy Monitor-Circuit_9 (kWhs),Vue Energy Monitor-Circuit_10 (kWhs),Vue Energy Monitor-Circuit_11 (kWhs),Vue Energy Monitor-Circuit_12 (kWhs),Vue Energy Monitor-Circuit_13 (kWhs),Vue Energy Monitor-Circuit_14 (kWhs),Vue Energy Monitor-Circuit_15 (kWhs),Vue Energy Monitor-Circuit_16 (kWhs)
01/21/2026 16:00:00,0.9255,1.0628,No CT,0.0138,0.0000,0.0002,0.0000,0.8116,0.0000,0.1649,0.0046,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 17:00:00,0.3857,0.5031,No CT,0.0142,0.0000,0.0011,0.0000,0.2325,0.0000,0.1618,0.0265,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 18:00:00,0.4482,1.7030,No CT,0.0140,0.0006,0.0118,0.0000,0.1878,1.2095,0.1804,0.0105,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 19:00:00,0.2330,0.6507,No CT,0.0141,0.0001,0.0099,0.0000,0.0505,0.2728,0.1640,0.0068,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 20:00:00,0.6213,0.8932,No CT,0.0137,0.0000,0.0028,0.0000,0.4947,0.0000,0.2304,0.0041,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 21:00:00,1.4310,1.1911,No CT,0.0146,0.0002,0.0020,0.3972,0.3725,0.1165,0.1230,0.5446,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 22:00:00,0.6301,0.4882,No CT,0.0156,0.0000,0.0000,0.1601,0.0169,0.0000,0.1248,0.0354,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/21/2026 23:00:00,0.2834,0.4036,No CT,0.0144,0.0000,0.0002,0.1060,0.0128,0.0000,0.1091,0.0046,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 00:00:00,0.1045,0.2595,No CT,0.0141,0.0000,0.0034,0.0000,0.0134,0.0000,0.0712,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 01:00:00,0.0993,0.2920,No CT,0.0140,0.0000,0.0000,0.0000,0.0187,0.0000,0.1009,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 02:00:00,0.0987,0.2474,No CT,0.0139,0.0000,0.0000,0.0000,0.0192,0.0000,0.0544,0.0031,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 03:00:00,0.1359,0.3247,No CT,0.0138,0.0000,0.0000,0.0000,0.0596,0.0000,0.0939,0.0026,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 04:00:00,1.4184,1.5668,No CT,0.0131,0.0000,0.0000,0.0000,1.3386,0.0000,0.0499,0.0015,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 05:00:00,1.1611,1.3509,No CT,0.0133,0.0000,0.0000,0.0000,1.0845,0.0000,0.0951,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 06:00:00,1.2680,1.4206,No CT,0.0133,0.0000,0.0000,0.0000,1.1748,0.0000,0.0540,0.0018,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 07:00:00,0.1929,0.3871,No CT,0.0138,0.0000,0.0000,0.0000,0.1161,0.0000,0.0977,0.0034,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 08:00:00,0.0908,0.2586,No CT,0.0139,0.0000,0.0015,0.0000,0.0043,0.0000,0.0789,0.0043,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 09:00:00,0.7526,1.0659,No CT,0.0138,0.0000,0.0055,0.0000,0.6096,0.0000,0.2856,0.0257,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 10:00:00,0.2007,0.3934,No CT,0.0139,0.0000,0.0010,0.0000,0.1037,0.0000,0.1204,0.0037,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 11:00:00,0.4081,0.5165,No CT,0.0139,0.0000,0.0600,0.2444,0.0114,0.0000,0.0821,0.0049,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 12:00:00,0.7660,1.0355,No CT,0.0135,0.0000,0.0000,0.1691,0.5074,0.0000,0.1794,0.0040,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 13:00:00,1.0127,1.2140,No CT,0.0134,0.0000,0.0000,0.0081,0.9111,0.0000,0.1134,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 14:00:00,0.3137,0.4592,No CT,0.0138,0.0000,0.0000,0.0000,0.2309,0.0000,0.1050,0.0033,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 15:00:00,0.4226,0.4888,No CT,0.0143,0.0000,0.0000,0.0000,0.2778,0.0000,0.1059,0.0051,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 16:00:00,0.9210,0.9304,No CT,0.0140,0.0000,0.0000,0.0000,0.7462,0.0000,0.0799,0.0037,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 17:00:00,0.5257,0.5500,No CT,0.0140,0.0000,0.0000,0.0000,0.3792,0.0000,0.0709,0.0029,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 18:00:00,0.9539,0.8458,No CT,0.1118,0.0000,0.0006,0.0729,0.1943,0.3719,0.1075,0.0050,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 19:00:00,2.1779,1.8988,No CT,0.3301,0.0000,0.0015,0.1974,1.0565,0.4208,0.0952,0.0031,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 20:00:00,1.0299,1.2537,No CT,0.0135,0.0000,0.0000,0.0792,0.8552,0.0000,0.1960,0.0047,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 21:00:00,0.8472,1.0009,No CT,0.0137,0.0000,0.0000,0.0000,0.7505,0.0000,0.1536,0.0048,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 22:00:00,0.3136,0.4368,No CT,0.0140,0.0000,0.0000,0.0000,0.1905,0.0000,0.1466,0.0051,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/22/2026 23:00:00,0.1314,0.2183,No CT,0.0140,0.0000,0.0067,0.0000,0.0067,0.0000,0.1148,0.0138,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 00:00:00,0.1106,0.1703,No CT,0.0139,0.0000,0.0083,0.0000,0.0135,0.0000,0.0598,0.0026,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 01:00:00,0.1148,0.2077,No CT,0.0139,0.0000,0.0042,0.0000,0.0162,0.0000,0.0957,0.0047,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 02:00:00,0.1091,0.1763,No CT,0.0139,0.0000,0.0003,0.0000,0.0191,0.0000,0.0611,0.0025,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 03:00:00,0.1104,0.2036,No CT,0.0138,0.0000,0.0000,0.0000,0.0192,0.0000,0.0891,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 04:00:00,1.1224,1.1983,No CT,0.0133,0.0000,0.0000,0.0000,1.0415,0.0000,0.0593,0.0030,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
01/23/2026 05:00:00,1.3394,1.4345,No CT,0.0132,0.0000,0.0000,0.0000,1.2523,0.0000,0.0845,0.0021,No CT,No CT,No CT,No CT,No CT,No CT,No CT,No CT
