"Reading Date","1 am KWH Usage","2 am KWH Usage","3 am KWH Usage","4 am KWH Usage","5 am KWH Usage","6 am KWH Usage","7 am KWH Usage","8 am KWH Usage","9 am KWH Usage","10 am KWH Usage","11 am KWH Usage","12 pm KWH Usage","1 pm KWH Usage","2 pm KWH Usage","3 pm KWH Usage","4 pm KWH Usage","5 pm KWH Usage","6 pm KWH Usage","7 pm KWH Usage","8 pm KWH Usage","9 pm KWH Usage","10 pm KWH Usage","11 pm KWH Usage","12 pm KWH Usage","[touInquiry_download_Total_Tier_1_Consumption]","[touInquiry_download_Total_Tier_2_Consumption]"
"2026-01-01","2.350","2.800","2.930","2.630","2.720","3.420","2.970","7.780","3.460","6.690","3.330","2.790","3.220","2.570","2.740","2.810","3.300","5.110","6.460","3.420","3.900","3.120","2.870","1.140","84.53","0",
"2026-01-02","2.010","3.180","2.940","2.800","3.470","2.730","3.710","8.090","3.000","7.370","2.770","3.480","4.080","1.830","2.470","1.350","1.720","1.800","2.450","2.350","2.240","1.830","2.370","0.500","70.54","0",
"2026-01-03","1.470","2.390","3.580","2.910","2.440","1.640","3.990","2.990","3.020","2.240","2.860","2.120","2.070","2.160","2.700","3.960","3.180","2.160","2.520","1.730","3.360","2.620","3.530","1.760","63.40","0",
"2026-01-04","2.690","2.400","3.460","3.060","2.380","3.430","2.880","3.320","5.090","3.330","3.610","2.650","3.340","1.720","2.350","2.110","2.690","2.670","2.710","5.330","2.090","3.230","2.680","2.510","71.73","0",
"2026-01-05","1.610","2.890","2.850","5.980","3.440","4.430","2.960","5.170","4.360","4.840","3.290","3.340","2.790","2.750","2.820","2.400","2.060","2.760","2.730","2.550","3.100","3.410","3.790","0.940","77.26","0",
"2026-01-06","2.420","3.240","2.930","2.990","2.140","3.810","3.430","4.100","4.080","3.190","2.650","1.830","2.420","1.620","2.370","2.030","2.310","2.670","3.350","2.800","1.520","1.560","2.760","1.170","63.39","0",
"2026-01-07","1.980","2.380","2.170","2.070","2.330","1.760","3.070","3.980","1.950","1.720","2.030","2.230","1.330","1.760","1.400","1.190","1.500","2.250","1.360","2.540","1.030","1.290","1.310","0.420","45.05","0",
"2026-01-08","1.930","1.780","1.930","1.210","1.290","1.190","2.760","2.880","0.930","1.040","1.210","1.110","1.750","0.910","1.660","1.350","1.500","1.770","2.770","1.860","3.790","2.240","2.200","1.220","42.28","0",
"2026-01-09","2.290","2.320","2.130","1.260","1.120","0.970","1.820","3.660","2.980","1.790","1.420","1.200","1.190","0.940","1.070","0.940","1.140","1.070","1.750","1.790","1.970","3.720","1.550","1.980","42.07","0",
"2026-01-10","1.080","0.830","1.110","0.940","1.440","1.210","1.670","2.200","1.900","1.580","1.420","1.210","1.630","1.090","1.070","1.910","1.260","0.920","1.620","1.320","1.110","1.070","1.310","1.220","32.12","0",
