"Reading Date","1 am KWH Usage","2 am KWH Usage","3 am KWH Usage","4 am KWH Usage","5 am KWH Usage","6 am KWH Usage","7 am KWH Usage","8 am KWH Usage","9 am KWH Usage","10 am KWH Usage","11 am KWH Usage","12 pm KWH Usage","1 pm KWH Usage","2 pm KWH Usage","3 pm KWH Usage","4 pm KWH Usage","5 pm KWH Usage","6 pm KWH Usage","7 pm KWH Usage","8 pm KWH Usage","9 pm KWH Usage","10 pm KWH Usage","11 pm KWH Usage","12 pm KWH Usage","[touInquiry_download_Total_Tier_1_Consumption]","[touInquiry_download_Total_Tier_2_Consumption]"
"2025-12-01","0.410","0.930","1.180","1.320","1.320","1.890","3.350","2.550","2.290","2.690","2.580","1.790","1.660","1.790","1.310","1.430","1.580","1.750","3.310","1.930","2.270","2.650","1.840","0.160","43.98","0",
"2025-12-02","1.190","1.480","2.200","1.680","1.920","1.760","3.420","3.210","2.860","2.150","1.910","2.600","1.840","1.820","1.310","1.430","1.910","2.050","3.350","1.830","2.630","1.940","3.650","0.840","50.98","0",
"2025-12-03","1.110","3.020","2.360","3.480","3.130","2.160","3.620","3.370","3.280","2.760","1.930","1.750","2.000","2.880","1.270","1.660","1.320","1.580","2.830","1.740","2.410","3.490","2.760","3.270","59.18","0",
"2025-12-04","0.900","0.830","1.170","1.090","1.630","1.240","2.790","3.730","1.890","1.950","2.690","2.230","3.710","1.570","2.240","2.390","2.640","3.190","2.130","3.390","3.150","4.470","6.380","1.150","58.55","0",
"2025-12-05","2.250","2.920","3.160","3.320","1.840","2.890","3.820","12.260","4.220","3.840","2.810","2.230","2.810","1.970","1.810","2.420","1.930","1.940","3.480","3.310","1.580","1.460","1.310","0.500","70.08","0",
"2025-12-06","1.010","1.090","1.250","1.230","1.510","1.350","3.400","3.930","3.480","0.940","1.370","2.820","1.310","1.180","1.270","1.880","1.660","1.210","1.280","1.500","1.400","1.330","2.880","0.600","40.88","0",
"2025-12-07","0.710","0.850","1.450","1.230","1.840","1.710","3.170","3.170","2.010","2.110","2.700","2.170","2.470","2.450","2.120","2.880","3.650","1.990","2.440","5.090","2.070","2.130","3.130","1.440","54.98","0",
"2025-12-08","1.790","3.420","2.490","2.650","3.420","3.330","2.990","8.330","3.200","6.720","4.690","2.630","2.480","1.990","1.720","1.830","2.210","4.430","3.170","2.760","3.730","2.350","3.020","1.020","76.37","0",
"2025-12-09","2.870","2.730","4.360","3.440","2.900","3.410","3.590","6.660","5.610","3.210","2.090","2.100","2.810","1.590","1.730","2.290","2.030","1.950","7.140","2.920","2.300","1.540","2.820","0.170","72.26","0",
"2025-12-10","0.590","1.300","1.170","1.140","1.280","2.120","3.290","2.500","2.190","5.140","1.470","4.090","1.450","2.590","2.730","1.270","2.540","2.210","2.140","3.610","2.020","1.920","1.860","0.470","51.09","0",
