"Reading Date","1 am KWH Usage","2 am KWH Usage","3 am KWH Usage","4 am KWH Usage","5 am KWH Usage","6 am KWH Usage","7 am KWH Usage","8 am KWH Usage","9 am KWH Usage","10 am KWH Usage","11 am KWH Usage","12 pm KWH Usage","1 pm KWH Usage","2 pm KWH Usage","3 pm KWH Usage","4 pm KWH Usage","5 pm KWH Usage","6 pm KWH Usage","7 pm KWH Usage","8 pm KWH Usage","9 pm KWH Usage","10 pm KWH Usage","11 pm KWH Usage","12 pm KWH Usage","Total On-Peak kwH Usage","Total Mid-Peak kwH Usage","Total Off-Peak kwH Usage *"
"2025-12-01","0.390","0.270","0.280","0.280","1.900","3.180","3.170","1.390","0.320","0.240","0.380","0.470","2.400","0.890","0.270","0.250","2.150","0.250","1.330","1.920","0.870","0.620","1.740","0.300","3.91","6.43","14.92",
"2025-12-02","0.360","0.860","0.300","0.270","2.280","2.770","3.240","0.430","0.530","0.240","1.140","0.220","0.530","0.710","0.510","0.640","2.140","0.990","1.420","1.680","0.260","1.690","1.840","0.350","4.75","4.75","15.90",
"2025-12-03","0.310","0.280","0.270","0.290","2.350","3.430","3.040","1.270","0.530","0.650","0.810","0.630","0.790","0.630","0.560","1.010","2.190","0.900","1.230","1.800","0.310","0.780","1.420","0.380","5.39","5.81","14.66",
"2025-12-04","0.350","0.320","0.300","0.340","2.590","2.340","2.760","0.330","1.260","0.310","0.300","0.580","1.140","0.630","0.590","1.220","2.770","1.490","2.600","1.920","0.300","1.490","1.400","0.370","6.29","6.93","14.48",
"2025-12-05","0.330","0.290","0.320","0.300","3.320","3.500","3.710","2.040","1.130","0.930","1.550","1.210","0.870","1.360","0.800","0.800","2.690","0.270","1.800","0.730","2.070","0.770","1.370","0.380","7.72","7.73","17.09",
"2025-12-06","0.330","0.320","0.300","0.320","1.850","1.610","1.520","2.420","1.080","0.290","0.780","1.100","1.100","1.740","0.610","0.270","0.550","0.490","0.650","0.570","0.610","0.940","1.610","0.340","0.00","0.00","21.40",
"2025-12-07","0.300","0.330","0.300","0.330","2.590","2.560","2.110","1.970","0.880","0.770","0.810","0.900","1.530","0.620","2.210","1.640","1.150","0.280","1.430","0.760","1.350","2.210","0.860","0.320","0.00","0.00","28.21",
"2025-12-08","0.810","0.380","0.310","0.320","3.000","3.950","3.370","1.890","1.010","1.040","1.140","0.470","3.610","3.840","3.900","4.070","3.110","1.130","2.230","1.820","1.560","1.490","0.790","0.990","8.44","19.00","18.79",
"2025-12-09","0.390","0.270","0.270","0.270","2.610","3.190","3.420","0.530","2.640","1.740","0.340","1.510","1.690","0.900","1.240","1.270","2.190","2.050","1.480","2.500","3.370","3.280","1.100","0.350","8.78","8.80","21.02",
"2025-12-10","0.290","0.290","0.260","0.300","1.640","1.690","2.530","0.260","0.580","0.380","0.610","1.010","3.070","2.300","0.920","0.870","2.120","1.120","1.630","0.630","0.900","1.760","0.620","0.310","4.58","10.29","11.22",
"2025-12-11","0.310","0.290","0.310","0.290","2.690","2.780","3.420","0.770","0.450","0.740","3.970","1.450","1.860","2.200","2.590","1.360","1.760","1.700","2.370","1.950","1.480","3.950","1.800","0.810","10.00","11.22","20.08",
"2025-12-12","0.770","0.760","0.700","0.720","2.840","4.560","3.950","1.860","0.820","1.960","1.590","1.030","1.560","1.840","0.450","1.030","2.640","1.910","1.810","0.720","0.570","0.470","0.900","1.330","9.95","8.55","18.29",
"2025-12-13","0.700","0.290","0.320","0.300","2.010","1.970","2.090","1.240","1.490","1.090","2.310","0.540","1.320","1.460","1.570","1.580","1.120","2.410","1.760","0.350","1.290","2.550","0.740","0.650","0.00","0.00","31.15",
"2025-12-14","0.870","0.630","0.340","0.290","2.120","1.770","0.910","2.360","1.970","2.090","1.510","2.580","1.170","0.290","0.280","0.500","3.450","1.880","1.660","0.870","0.900","2.280","2.060","0.760","0.00","0.00","33.54",
"2025-12-15","0.690","0.450","0.310","0.260","2.530","3.760","3.540","2.420","0.470","2.090","1.230","0.280","0.270","2.700","1.090","1.970","2.710","0.600","1.050","1.700","1.250","1.190","0.640","0.420","7.86","9.02","16.74",
"2025-12-16","0.510","0.480","0.260","0.290","2.780","2.340","3.100","0.510","0.650","1.470","0.730","0.610","1.630","1.750","1.170","0.980","2.030","1.000","2.070","1.430","1.640","1.980","1.890","2.080","6.43","8.17","18.78",
"2025-12-17","0.710","0.240","0.280","0.230","2.170","2.410","0.780","0.540","0.500","0.740","0.900","1.080","0.830","0.980","1.670","1.140","1.690","0.700","2.310","0.910","1.750","0.530","0.400","0.220","5.69","7.39","10.63",
"2025-12-18","0.260","0.230","0.260","0.250","1.710","2.120","1.310","0.320","0.590","1.870","1.570","1.200","1.790","0.620","0.950","1.260","2.590","1.170","0.430","1.520","1.760","0.680","1.090","1.160","5.95","8.41","12.35",
"2025-12-19","0.720","0.730","0.760","0.660","0.750","1.190","3.210","0.780","0.770","1.010","1.660","3.260","1.920","4.520","3.670","1.760","2.840","0.320","0.910","0.340","0.790","0.770","1.520","0.270","5.45","17.97","11.71",
"2025-12-20","0.270","0.290","0.270","1.030","1.720","2.450","2.410","2.020","1.540","0.540","1.400","0.760","1.570","1.930","1.350","1.650","1.620","0.860","1.200","1.010","0.690","1.090","0.360","0.270","0.00","0.00","28.30",
"2025-12-21","0.260","0.250","0.240","0.250","1.110","2.140","1.310","2.160","0.940","2.290","0.260","0.450","0.720","0.770","3.430","0.510","0.440","2.120","0.390","1.280","2.250","0.880","1.480","0.250","0.00","0.00","26.18",
"2025-12-22","0.270","0.270","0.270","0.960","2.980","3.880","3.640","0.400","1.260","0.570","0.920","0.920","0.700","1.080","1.570","1.350","1.620","0.250","1.020","1.710","1.610","0.920","0.530","1.210","4.42","7.24","18.25",
"2025-12-23","0.730","0.450","0.260","0.230","2.280","2.000","1.150","0.270","0.440","0.760","2.160","1.920","1.000","2.280","1.330","4.880","3.820","2.890","3.760","0.970","0.870","0.460","0.580","0.350","10.28","15.23","10.33",
"2025-12-24","0.280","0.260","0.240","0.270","2.160","1.880","2.260","1.030","0.940","0.580","1.910","1.510","2.070","0.960","1.260","1.500","1.870","0.610","1.040","2.080","3.110","2.270","0.780","0.390","6.11","9.17","15.98",
"2025-12-25","0.360","0.340","0.340","0.360","2.520","2.400","1.690","0.340","1.380","2.700","1.900","1.320","0.370","1.860","1.570","1.710","1.410","0.480","1.500","4.500","3.880","3.930","1.360","1.300","0.00","0.00","39.52",
"2025-12-26","0.320","0.360","0.360","0.280","1.940","3.390","3.480","0.600","2.100","0.780","2.830","1.660","0.530","3.950","2.920","2.370","0.880","1.090","5.070","2.270","2.990","2.230","0.670","0.490","0.00","0.00","43.56",
"2025-12-27","0.290","0.280","0.290","0.270","1.790","2.680","4.110","2.320","2.060","0.510","0.670","2.970","3.010","1.780","1.370","1.380","1.270","2.230","2.230","3.290","2.330","1.610","1.120","1.170","0.00","0.00","41.03",
"2025-12-28","0.970","0.740","0.630","0.740","1.180","3.200","3.890","2.550","1.720","3.100","2.680","1.900","1.840","0.850","1.910","2.410","1.660","2.340","1.600","1.450","3.690","2.180","1.440","1.050","0.00","0.00","45.72",
"2025-12-29","0.790","0.820","0.840","0.770","1.470","2.190","3.790","0.870","1.210","1.080","1.420","2.120","2.490","0.880","1.840","1.960","3.300","1.130","1.810","1.760","1.710","1.620","1.140","1.180","7.52","12.59","18.08",
"2025-12-30","1.180","0.750","0.830","0.720","2.790","3.320","4.410","0.790","2.190","1.750","3.050","1.260","2.100","0.430","0.450","0.760","0.780","1.270","3.130","2.840","3.930","1.820","1.160","1.890","12.18","5.78","25.64",
"2025-12-31","1.390","0.790","0.650","0.900","3.930","4.010","4.600","0.750","2.470","1.440","1.140","1.360","1.730","2.660","0.770","3.310","4.110","1.830","1.760","2.130","1.340","1.420","1.550","0.710","9.39","13.94","23.42",







,,,,,,,,,,,,,,,,,,,,,,,,,,,"*Note: Ontario's electricity system operates in Eastern Standard Time. Therefore, during Daylight Saving Time, the daily consumption values shown here may differ slightly from the billed amounts."
